epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2894.4,1.52401,0.70877,1.31976,0.81604,0.83418,0.82187,0.34467,1.74041,0.66839,1.51328,0.000848969,0.000848969,0.000848969
43,2964.91,1.51919,0.70554,1.31634,0.84235,0.82412,0.8174,0.35343,1.70187,0.65833,1.50087,0.000834822,0.000834822,0.000834822
44,3034.89,1.50755,0.69803,1.30604,0.84694,0.81907,0.8231,0.35441,1.70441,0.64602,1.49193,0.000820675,0.000820675,0.000820675
45,3103.07,1.50139,0.69279,1.30744,0.8339,0.8323,0.84364,0.36293,1.70598,0.63327,1.49909,0.000806528,0.000806528,0.000806528
46,3170.82,1.5126,0.6934,1.30825,0.85252,0.83996,0.85182,0.35922,1.70673,0.64706,1.48792,0.00079238,0.00079238,0.00079238
47,3239.36,1.49546,0.68699,1.29794,0.82061,0.81456,0.77946,0.34902,1.71142,0.63606,1.49644,0.000778233,0.000778233,0.000778233
48,3308.28,1.50102,0.69122,1.30525,0.8535,0.8519,0.84811,0.36148,1.72831,0.6429,1.51944,0.000764086,0.000764086,0.000764086
49,3377.1,1.50286,0.68357,1.30599,0.84037,0.82741,0.8115,0.36144,1.69259,0.62759,1.49377,0.000749939,0.000749939,0.000749939
50,3445.81,1.48887,0.68423,1.30234,0.8476,0.81781,0.81753,0.36,1.7325,0.63674,1.5162,0.000735792,0.000735792,0.000735792
51,3514.55,1.4955,0.68704,1.3037,0.84233,0.81696,0.8049,0.35753,1.71479,0.63724,1.50865,0.000721645,0.000721645,0.000721645
52,3582.76,1.47943,0.6768,1.29987,0.83453,0.83762,0.81257,0.35667,1.73389,0.63514,1.51103,0.000707498,0.000707498,0.000707498
53,3651.37,1.4868,0.68031,1.29736,0.85272,0.8399,0.83594,0.3649,1.6891,0.6288,1.49547,0.000693351,0.000693351,0.000693351
54,3719.73,1.47763,0.68394,1.29593,0.86608,0.8581,0.85181,0.36383,1.71088,0.62939,1.5067,0.000679204,0.000679204,0.000679204
55,3787.6,1.477,0.67569,1.29552,0.87627,0.85332,0.84859,0.35569,1.71777,0.63712,1.50971,0.000665057,0.000665057,0.000665057
56,3855.35,1.46944,0.66892,1.28993,0.81187,0.82042,0.798,0.35211,1.74094,0.63517,1.51882,0.000650909,0.000650909,0.000650909
57,3923.03,1.47199,0.66666,1.29233,0.81879,0.83382,0.83208,0.35406,1.73035,0.63419,1.52093,0.000636762,0.000636762,0.000636762
58,3990.81,1.46771,0.67125,1.29566,0.82991,0.82612,0.81715,0.3515,1.69442,0.62626,1.50357,0.000622615,0.000622615,0.000622615
59,4058.49,1.45701,0.66329,1.2859,0.85403,0.8395,0.82217,0.35393,1.71003,0.63205,1.49977,0.000608468,0.000608468,0.000608468
60,4126.28,1.45547,0.6597,1.28401,0.85074,0.85067,0.8426,0.36047,1.70541,0.61993,1.50747,0.000594321,0.000594321,0.000594321
61,4195.24,1.45783,0.6568,1.28334,0.83791,0.81962,0.8113,0.35456,1.70275,0.63654,1.50211,0.000580174,0.000580174,0.000580174
62,4263.99,1.45641,0.65589,1.28572,0.88182,0.87355,0.85044,0.35435,1.72181,0.621,1.52223,0.000566027,0.000566027,0.000566027
63,4333.96,1.45767,0.65981,1.28427,0.86319,0.8476,0.83888,0.35924,1.74457,0.6311,1.52832,0.00055188,0.00055188,0.00055188
64,4402.98,1.45621,0.6576,1.28734,0.88172,0.85761,0.86746,0.36449,1.72199,0.62458,1.52024,0.000537733,0.000537733,0.000537733
65,4471.76,1.44426,0.64926,1.28011,0.86716,0.853,0.85992,0.35666,1.73905,0.61772,1.53456,0.000523586,0.000523586,0.000523586
66,4540.12,1.43664,0.64745,1.27682,0.86891,0.85818,0.86508,0.36359,1.7445,0.62452,1.52997,0.000509438,0.000509438,0.000509438
67,4609.62,1.44782,0.65114,1.27442,0.8547,0.84156,0.83933,0.35811,1.72465,0.63127,1.50974,0.000495291,0.000495291,0.000495291
68,4678.13,1.44226,0.6501,1.27803,0.87453,0.8779,0.8643,0.36048,1.72994,0.63081,1.51829,0.000481144,0.000481144,0.000481144
69,4746.75,1.43182,0.64174,1.27052,0.85859,0.84962,0.83847,0.36138,1.7285,0.61048,1.51578,0.000466997,0.000466997,0.000466997
70,4815.3,1.42759,0.63803,1.27247,0.86352,0.86329,0.86209,0.35663,1.73464,0.61556,1.5257,0.00045285,0.00045285,0.00045285
71,4883.75,1.43273,0.63931,1.26738,0.87247,0.86872,0.85617,0.35786,1.74015,0.62635,1.52181,0.000438703,0.000438703,0.000438703
72,4952.21,1.43037,0.63941,1.2684,0.86502,0.84753,0.83692,0.35351,1.7323,0.61927,1.52975,0.000424556,0.000424556,0.000424556
73,5020.72,1.41927,0.63526,1.26194,0.8465,0.83869,0.84464,0.35565,1.75022,0.6162,1.53354,0.000410409,0.000410409,0.000410409
74,5089.41,1.42506,0.63721,1.26714,0.8682,0.86735,0.8708,0.36189,1.74963,0.61989,1.53585,0.000396262,0.000396262,0.000396262
75,5158.57,1.40501,0.63066,1.26292,0.88128,0.88025,0.87078,0.36079,1.73374,0.61473,1.52113,0.000382115,0.000382115,0.000382115
76,5227.84,1.41664,0.62592,1.25581,0.85229,0.85982,0.84265,0.35451,1.74979,0.61843,1.53109,0.000367967,0.000367967,0.000367967
77,5297.19,1.40891,0.63537,1.26141,0.85331,0.84317,0.83855,0.35643,1.73073,0.61336,1.52892,0.00035382,0.00035382,0.00035382
78,5367.16,1.4051,0.62748,1.25528,0.86343,0.85706,0.84619,0.35931,1.73475,0.61175,1.53422,0.000339673,0.000339673,0.000339673
79,5436.91,1.40402,0.62329,1.25538,0.86518,0.84,0.84768,0.3521,1.75728,0.6211,1.53954,0.000325526,0.000325526,0.000325526
80,5505.76,1.40943,0.62799,1.26098,0.84936,0.85784,0.84844,0.35187,1.74565,0.62073,1.52741,0.000311379,0.000311379,0.000311379
81,5575.08,1.40178,0.62471,1.25095,0.86005,0.84904,0.85001,0.3541,1.74332,0.61349,1.53198,0.000297232,0.000297232,0.000297232
82,5644.59,1.39517,0.62406,1.25118,0.88092,0.86023,0.85241,0.35434,1.74126,0.61781,1.53203,0.000283085,0.000283085,0.000283085
83,5713.99,1.39209,0.62287,1.2519,0.8753,0.86293,0.85385,0.35628,1.73054,0.60988,1.52486,0.000268938,0.000268938,0.000268938
84,5784.27,1.3991,0.62197,1.2496,0.87302,0.85631,0.85976,0.35352,1.73935,0.61179,1.52757,0.000254791,0.000254791,0.000254791
85,5854.18,1.38531,0.61697,1.2417,0.87291,0.86082,0.87614,0.35714,1.74021,0.61115,1.52704,0.000240644,0.000240644,0.000240644
86,5924.07,1.37858,0.61536,1.24086,0.87626,0.85893,0.86395,0.35824,1.74474,0.61313,1.52588,0.000226497,0.000226497,0.000226497
87,5994.76,1.3784,0.61169,1.24354,0.87187,0.85719,0.87449,0.35833,1.75462,0.6123,1.53015,0.000212349,0.000212349,0.000212349
88,6064.79,1.3771,0.6097,1.23964,0.87008,0.84842,0.8533,0.35547,1.73929,0.60598,1.52851,0.000198202,0.000198202,0.000198202
89,6134.41,1.38048,0.61261,1.24372,0.88278,0.85383,0.85862,0.35531,1.74152,0.61068,1.52872,0.000184055,0.000184055,0.000184055
90,6204.36,1.37733,0.61316,1.24156,0.88319,0.85928,0.86776,0.35656,1.74821,0.60964,1.53654,0.000169908,0.000169908,0.000169908
91,6298.92,1.3845,0.56113,1.27895,0.8553,0.85801,0.86104,0.35444,1.75318,0.61741,1.53948,0.000155761,0.000155761,0.000155761
92,6366.6,1.36321,0.55175,1.26337,0.86636,0.86607,0.86485,0.35853,1.74614,0.60868,1.53378,0.000141614,0.000141614,0.000141614
93,6436.19,1.3542,0.54745,1.26391,0.85538,0.84764,0.84815,0.35433,1.75087,0.60873,1.54173,0.000127467,0.000127467,0.000127467
94,6505.65,1.34752,0.54101,1.25893,0.85912,0.86322,0.85782,0.35999,1.74803,0.60937,1.53891,0.00011332,0.00011332,0.00011332
95,6574.6,1.34435,0.53637,1.25477,0.86531,0.86073,0.8427,0.35506,1.754,0.60798,1.53987,9.91726e-05,9.91726e-05,9.91726e-05
96,6644.18,1.34086,0.53505,1.24988,0.85718,0.86578,0.85432,0.35464,1.74613,0.60628,1.53646,8.50255e-05,8.50255e-05,8.50255e-05
97,6713.34,1.33221,0.5346,1.25177,0.85306,0.86991,0.8626,0.35718,1.75003,0.60819,1.53866,7.08784e-05,7.08784e-05,7.08784e-05
98,6782.56,1.3359,0.53597,1.24918,0.85388,0.86429,0.84891,0.35398,1.7553,0.61282,1.53877,5.67313e-05,5.67313e-05,5.67313e-05
99,6851.08,1.32646,0.52999,1.24316,0.85362,0.86473,0.84641,0.35502,1.74712,0.60937,1.53469,4.25842e-05,4.25842e-05,4.25842e-05
100,6919.36,1.33009,0.53327,1.24757,0.8651,0.87149,0.85985,0.35656,1.74877,0.60719,1.53775,2.84371e-05,2.84371e-05,2.84371e-05
